Code Barre;Référence;Montant prix achat;Désignation;Quantité;Tva;Montant prix moyen;Prix de vente Gros;Prix de vente Min;Date d'éxpiration
3052503105833;ART00004544;0,00;A/R MASCULIN EXTREME;0;19,00;0,00;0,00;0,00;
3052503155852;ART00004555;0,00;A/R MASCULIN EXTREME;0;19,00;0,00;0,00;0,00;
3052503115856;ART00004548;0,00;A/R MASCULIN OURAGAN;0;19,00;0,00;0,00;0,00;
3052503145808;ART00004551;0,00;A/R MASCULIN OURAGON;0;19,00;0,00;0,00;0,00;
5996175232702;ART00017039;0,00;A/R MENNEN BLACK;0;19,00;0,00;0,00;0,00;
5996175232726;ART00017041;0,00;A/R MENNEN COOL;0;19,00;0,00;0,00;0,00;
5996175232733;ART00017042;0,00;A/R MENNEN GOLDEN;0;19,00;0,00;0,00;0,00;
5996175232719;ART00017040;0,00;A/R MENNEN ORIGINAL;0;19,00;0,00;0,00;0,00;
3760070493061;ART00012722;0,00;A/R MP3 GALAKTIK;0;19,00;0,00;0,00;0,00;
056594813830;ART00031593;0,00;A/R NIVEA BAUME COOL ;0;19,00;0,00;0,00;0,00;
4005808186396;ART00013428;0,00;A/R NIVEA BAUME EXTR;0;19,00;0,00;0,00;0,00;
4005808813063;ART00013673;0,00;A/R NIVEA BAUME SENS;0;19,00;0,00;0,00;0,00;
4005808221691;ART00013443;0,00;A/R NIVEA HYDRATANT;0;19,00;0,00;0,00;0,00;
4005808228737;ART00013457;0,00;A/R NIVEA LOTION CON;0;19,00;0,00;0,00;0,00;
4005808644629;ART00013596;0,00;A/R NIVEA LOTION IMM;0;19,00;0,00;0,00;0,00;
056594006225;ART00031594;0,00;A/R NIVEA LOTION ORIGINAL;0;19,00;0,00;0,00;0,00;
4005808356980;ART00013530;0,00;A/R NIVEA Q10;0;19,00;0,00;0,00;0,00;
4005808221851;ART00013445;0,00;A/R NIVEA SENSITIVE;0;19,00;0,00;0,00;0,00;
56594813830;ART00001269;0,00;A/RAS NIVEA BAUME CO;0;19,00;0,00;0,00;0,00;
4005808539734;ART00013561;0,00;A/RAS NIVEA LOTION;0;19,00;0,00;0,00;0,00;
3661163941066;ART00012473;0,00;A/RASAGE ADIDAS FAIR;0;19,00;0,00;0,00;0,00;
8711600646759;ART00029893;0,00;A/RASAGE AXE ANARCHY;0;19,00;0,00;0,00;0,00;
8711700712248;ART00029925;0,00;A/RASAGE AXE APOLLO;0;19,00;0,00;0,00;0,00;
8718114656311;ART00030885;0,00;A/RASAGE AXE EXCITE;0;19,00;0,00;0,00;0,00;
8717644579749;ART00030790;0,00;A/RASAGE AXE INSTINC;0;19,00;0,00;0,00;0,00;
84195814;ART00000975;0,00;A/RASAGE AXE MARINE;0;19,00;0,00;0,00;0,00;
8718114154473;ART00030831;0,00;A/RASAGE AXE TWIST;0;19,00;0,00;0,00;0,00;
8717644535813;ART00030781;0,00;A/RASAGE BRUT ALASKA;0;19,00;0,00;0,00;0,00;
3014230021237;ART00003137;0,00;A/RASAGE BRUT ORIGI;0;19,00;0,00;0,00;0,00;
8717644054437;ART00030649;0,00;A/RASAGE BRUT PASSIO;0;19,00;0,00;0,00;0,00;
3387952304569;ART00009958;0,00;A/RASAGE CARON;0;19,00;0,00;0,00;0,00;
737052449371;ART00001742;0,00;A/RASAGE DEL MAR;0;19,00;0,00;0,00;0,00;
7640129895021;ART00024705;0,00;A/RASAGE DENIM BLACK;0;19,00;0,00;0,00;0,00;
7640129897353;ART00024708;0,00;A/RASAGE DENIM CHILL;0;19,00;0,00;0,00;0,00;
7640129895038;ART00024706;0,00;A/RASAGE DENIM ILLUS;0;19,00;0,00;0,00;0,00;
7640129895014;ART00024704;0,00;A/RASAGE DENIM MUSC;0;19,00;0,00;0,00;0,00;
7640129895007;ART00024703;0,00;A/RASAGE DENIM ORIGI;0;19,00;0,00;0,00;0,00;
7640129895045;ART00024707;0,00;A/RASAGE DENIM RAW;0;19,00;0,00;0,00;0,00;
8000630040218;ART00025164;0,00;A/RASAGE DENIM SILVE;0;19,00;0,00;0,00;0,00;
7640142777656;ART00024724;0,00;A/RASAGE DENIM SYNC;0;19,00;0,00;0,00;0,00;
7640142777625;ART00024723;0,00;A/RASAGE DENIM VIBE;0;19,00;0,00;0,00;0,00;
4015000519823;ART00014238;0,00;A/RASAGE FA BE FREE;0;19,00;0,00;0,00;0,00;
4015000519816;ART00014237;0,00;A/RASAGE FA KICK OFF;0;19,00;0,00;0,00;0,00;
8004120082634;ART00025629;0,00;A/RASAGE FIGARO 150M;0;19,00;0,00;0,00;0,00;
7702018966592;ART00024827;0,00;A/RASAGE GILLETTE FU;0;19,00;0,00;0,00;0,00;
3014260305697;ART00003268;0,00;A/RASAGE GILLETTE ST;0;19,00;0,00;0,00;0,00;
3600521778289;ART00011387;0,00;A/RASAGE L'OREAL MEN;0;19,00;0,00;0,00;0,00;
8003510016860;ART00025417;0,00;A/RASAGE MALIZIA GOL;0;19,00;0,00;0,00;0,00;
5410103031651;ART00015950;0,00;A/RASAGE MENNEN;0;19,00;0,00;0,00;0,00;
5996175233839;ART00017043;0,00;A/RASAGE MENNEN AVAL;0;19,00;0,00;0,00;0,00;
5996175233853;ART00017044;0,00;A/RASAGE MENNEN LIGH;0;19,00;0,00;0,00;0,00;
3760077049902;ART00012893;0,00;A/RASAGE MP3;0;19,00;0,00;0,00;0,00;
3760070493092;ART00012724;0,00;A/RASAGE MP3 CHAOTIK;0;19,00;0,00;0,00;0,00;
3760070493085;ART00012723;0,00;A/RASAGE MP3 ELEKTRI;0;19,00;0,00;0,00;0,00;
3760070490985;ART00012672;0,00;A/RASAGE MP3 FOURGE;0;19,00;0,00;0,00;0,00;
3760070491005;ART00012674;0,00;A/RASAGE MP3 LIM;0;19,00;0,00;0,00;0,00;
3760070492163;ART00012707;0,00;A/RASAGE MP3 MARINE;0;19,00;0,00;0,00;0,00;
3760070490992;ART00012673;0,00;A/RASAGE MP3 MUSK;0;19,00;0,00;0,00;0,00;
4005808222377;ART00013448;0,00;A/RASAGE NIVEA BAUME;0;19,00;0,00;0,00;0,00;
4005808813216;ART00013675;0,00;A/RASAGE NIVEA CREME;0;19,00;0,00;0,00;0,00;
4005808813803;ART00013677;0,00;A/RASAGE NIVEA LOTIO;0;19,00;0,00;0,00;0,00;
4005808194582;ART00013435;0,00;A/RASAGE NIVEA LOTIO;0;19,00;0,00;0,00;0,00;
4005808541591;ART00013563;0,00;A/RASAGE NIVEA LOTIO;0;19,00;0,00;0,00;0,00;
3178048344527;ART00007394;0,00;A/RASAGE SCORPIO VER;0;19,00;0,00;0,00;0,00;
2004040200015;ART00002562;0,00;A/SH BAUME SANDY 300;0;19,00;0,00;0,00;0,00;
6130377000120;ART00018559;0,00;A/SH BAUME SANDY 750;0;19,00;0,00;0,00;0,00;
4045787173024;ART00014721;0,00;A/SH BC COLORE;0;19,00;0,00;0,00;0,00;
4045787214277;ART00014724;0,00;A/SH BC FIBRE FORCE;0;19,00;0,00;0,00;0,00;
4045787129786;ART00014711;0,00;A/SH BC Q10;0;19,00;0,00;0,00;0,00;
3600550260267;ART00031642;0,00;A/SH DESSANGE BLOND ;0;19,00;0,00;0,00;0,00;
3600550153453;ART00012093;0,00;A/SH DESSANGE EXTREM;0;19,00;0,00;0,00;0,00;
